Region,Country Name,Millions of poor,Poverty Line
Latin America & Caribbean,Brazil,42.19,$8.30 (2021 PPP)
Latin America & Caribbean,Barbados,0,$3.00 (2021 PPP)
Latin America & Caribbean,Barbados,0.01,$4.20 (2021 PPP)
Latin America & Caribbean,Barbados,0.04,$8.30 (2021 PPP)
East Asia & Pacific,Brunei Darussalam,0,$3.00 (2021 PPP)
East Asia & Pacific,Brunei Darussalam,0,$4.20 (2021 PPP)
East Asia & Pacific,Brunei Darussalam,0,$8.30 (2021 PPP)
South Asia,Bhutan,0,$3.00 (2021 PPP)
South Asia,Bhutan,0,$4.20 (2021 PPP)
South Asia,Bhutan,0.04,$8.30 (2021 PPP)
Sub-Saharan Africa,Botswana,0.49,$3.00 (2021 PPP)
Sub-Saharan Africa,Botswana,0.85,$4.20 (2021 PPP)
Sub-Saharan Africa,Botswana,1.56,$8.30 (2021 PPP)
Sub-Saharan Africa,Central African Republic,4.12,$3.00 (2021 PPP)
Sub-Saharan Africa,Central African Republic,4.82,$4.20 (2021 PPP)
Sub-Saharan Africa,Central African Republic,5.49,$8.30 (2021 PPP)
North America,Canada,0.09,$3.00 (2021 PPP)
North America,Canada,0.13,$4.20 (2021 PPP)
North America,Canada,0.25,$8.30 (2021 PPP)
Europe & Central Asia,Switzerland,0.02,$3.00 (2021 PPP)
Europe & Central Asia,Switzerland,0.02,$4.20 (2021 PPP)
Europe & Central Asia,Switzerland,0.03,$8.30 (2021 PPP)
Europe & Central Asia,Channel Islands,0,$3.00 (2021 PPP)
Europe & Central Asia,Channel Islands,0,$4.20 (2021 PPP)
Europe & Central Asia,Channel Islands,0,$8.30 (2021 PPP)
Latin America & Caribbean,Chile,0.08,$3.00 (2021 PPP)
Latin America & Caribbean,Chile,0.13,$4.20 (2021 PPP)
Latin America & Caribbean,Chile,0.8,$8.30 (2021 PPP)
East Asia & Pacific,China,0,$3.00 (2021 PPP)
East Asia & Pacific,China,0,$4.20 (2021 PPP)
East Asia & Pacific,China,192.05,$8.30 (2021 PPP)
Sub-Saharan Africa,Côte d'Ivoire,5.09,$3.00 (2021 PPP)
Sub-Saharan Africa,Côte d'Ivoire,11.41,$4.20 (2021 PPP)
Sub-Saharan Africa,Côte d'Ivoire,25.46,$8.30 (2021 PPP)
Sub-Saharan Africa,Cameroon,7.79,$3.00 (2021 PPP)
Sub-Saharan Africa,Cameroon,12.13,$4.20 (2021 PPP)
Sub-Saharan Africa,Cameroon,22.28,$8.30 (2021 PPP)
Sub-Saharan Africa,"Congo, Dem. Rep.",95.08,$3.00 (2021 PPP)
Sub-Saharan Africa,"Congo, Dem. Rep.",104.53,$4.20 (2021 PPP)
Sub-Saharan Africa,"Congo, Dem. Rep.",113.38,$8.30 (2021 PPP)
Sub-Saharan Africa,"Congo, Rep.",3.37,$3.00 (2021 PPP)
Sub-Saharan Africa,"Congo, Rep.",4.4,$4.20 (2021 PPP)
Sub-Saharan Africa,"Congo, Rep.",5.93,$8.30 (2021 PPP)
Latin America & Caribbean,Colombia,4.34,$3.00 (2021 PPP)
Latin America & Caribbean,Colombia,7.52,$4.20 (2021 PPP)
Latin America & Caribbean,Colombia,19.26,$8.30 (2021 PPP)
Sub-Saharan Africa,Comoros,0.04,$3.00 (2021 PPP)
Sub-Saharan Africa,Comoros,0.15,$4.20 (2021 PPP)
Sub-Saharan Africa,Comoros,0.6,$8.30 (2021 PPP)
Sub-Saharan Africa,Cabo Verde,0.04,$3.00 (2021 PPP)
Sub-Saharan Africa,Cabo Verde,0.09,$4.20 (2021 PPP)
Sub-Saharan Africa,Cabo Verde,0.27,$8.30 (2021 PPP)
Latin America & Caribbean,Costa Rica,0.04,$3.00 (2021 PPP)
Latin America & Caribbean,Costa Rica,0.08,$4.20 (2021 PPP)
Latin America & Caribbean,Costa Rica,0.47,$8.30 (2021 PPP)
Latin America & Caribbean,Cuba,0.24,$3.00 (2021 PPP)
Latin America & Caribbean,Cuba,0.46,$4.20 (2021 PPP)
Latin America & Caribbean,Cuba,1.59,$8.30 (2021 PPP)
Latin America & Caribbean,Curaçao,0,$3.00 (2021 PPP)
Latin America & Caribbean,Curaçao,0,$4.20 (2021 PPP)
Latin America & Caribbean,Curaçao,0.01,$8.30 (2021 PPP)
Latin America & Caribbean,Cayman Islands,0,$3.00 (2021 PPP)
Latin America & Caribbean,Cayman Islands,0,$4.20 (2021 PPP)
Latin America & Caribbean,Cayman Islands,0,$8.30 (2021 PPP)
Europe & Central Asia,Cyprus,0,$3.00 (2021 PPP)
Europe & Central Asia,Cyprus,0,$4.20 (2021 PPP)
Europe & Central Asia,Cyprus,0,$8.30 (2021 PPP)
Europe & Central Asia,Czechia,0,$3.00 (2021 PPP)
Europe & Central Asia,Czechia,0,$4.20 (2021 PPP)
Europe & Central Asia,Czechia,0.07,$8.30 (2021 PPP)
Europe & Central Asia,Germany,0.57,$3.00 (2021 PPP)
Europe & Central Asia,Germany,0.7,$4.20 (2021 PPP)
Europe & Central Asia,Germany,1.26,$8.30 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Djibouti,0.21,$3.00 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Djibouti,0.37,$4.20 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Djibouti,0.83,$8.30 (2021 PPP)
Latin America & Caribbean,Dominica,0,$3.00 (2021 PPP)
Latin America & Caribbean,Dominica,0.01,$4.20 (2021 PPP)
Latin America & Caribbean,Dominica,0.02,$8.30 (2021 PPP)
Europe & Central Asia,Denmark,0.02,$3.00 (2021 PPP)
Europe & Central Asia,Denmark,0.02,$4.20 (2021 PPP)
Europe & Central Asia,Denmark,0.04,$8.30 (2021 PPP)
Latin America & Caribbean,Dominican Republic,0.08,$3.00 (2021 PPP)
Latin America & Caribbean,Dominican Republic,0.22,$4.20 (2021 PPP)
Latin America & Caribbean,Dominican Republic,1.44,$8.30 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Algeria,0,$3.00 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Algeria,0.61,$4.20 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Algeria,14.75,$8.30 (2021 PPP)
Latin America & Caribbean,Ecuador,0.63,$3.00 (2021 PPP)
Latin America & Caribbean,Ecuador,1.54,$4.20 (2021 PPP)
Latin America & Caribbean,Ecuador,5.54,$8.30 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan","Egypt, Arab Rep.",1.06,$3.00 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan","Egypt, Arab Rep.",6.82,$4.20 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan","Egypt, Arab Rep.",64.21,$8.30 (2021 PPP)
Sub-Saharan Africa,Eritrea,0.87,$3.00 (2021 PPP)
Sub-Saharan Africa,Eritrea,1.52,$4.20 (2021 PPP)
Sub-Saharan Africa,Eritrea,2.89,$8.30 (2021 PPP)
Europe & Central Asia,Spain,0.38,$3.00 (2021 PPP)
Europe & Central Asia,Spain,0.46,$4.20 (2021 PPP)
Europe & Central Asia,Spain,1.01,$8.30 (2021 PPP)
Europe & Central Asia,Estonia,0,$3.00 (2021 PPP)
Europe & Central Asia,Estonia,0.01,$4.20 (2021 PPP)
Europe & Central Asia,Estonia,0.02,$8.30 (2021 PPP)
Sub-Saharan Africa,Ethiopia,38.05,$3.00 (2021 PPP)
Sub-Saharan Africa,Ethiopia,72.29,$4.20 (2021 PPP)
Sub-Saharan Africa,Ethiopia,124.56,$8.30 (2021 PPP)
Europe & Central Asia,Finland,0.01,$3.00 (2021 PPP)
Europe & Central Asia,Finland,0.01,$4.20 (2021 PPP)
Europe & Central Asia,Finland,0.02,$8.30 (2021 PPP)
East Asia & Pacific,Fiji,0.03,$3.00 (2021 PPP)
East Asia & Pacific,Fiji,0.11,$4.20 (2021 PPP)
East Asia & Pacific,Fiji,0.51,$8.30 (2021 PPP)
Europe & Central Asia,France,0.05,$3.00 (2021 PPP)
Europe & Central Asia,France,0.05,$4.20 (2021 PPP)
Europe & Central Asia,France,0.19,$8.30 (2021 PPP)
Europe & Central Asia,Faeroe Islands,0,$3.00 (2021 PPP)
Europe & Central Asia,Faeroe Islands,0,$4.20 (2021 PPP)
Europe & Central Asia,Faeroe Islands,0,$8.30 (2021 PPP)
East Asia & Pacific,"Micronesia, Fed. Sts.",0.03,$3.00 (2021 PPP)
East Asia & Pacific,"Micronesia, Fed. Sts.",0.05,$4.20 (2021 PPP)
East Asia & Pacific,"Micronesia, Fed. Sts.",0.09,$8.30 (2021 PPP)
Sub-Saharan Africa,Gabon,0.13,$3.00 (2021 PPP)
Sub-Saharan Africa,Gabon,0.27,$4.20 (2021 PPP)
Sub-Saharan Africa,Gabon,0.99,$8.30 (2021 PPP)
Europe & Central Asia,United Kingdom,0.23,$3.00 (2021 PPP)
Europe & Central Asia,United Kingdom,0.29,$4.20 (2021 PPP)
Europe & Central Asia,United Kingdom,0.57,$8.30 (2021 PPP)
Europe & Central Asia,Georgia,0.12,$3.00 (2021 PPP)
Europe & Central Asia,Georgia,0.31,$4.20 (2021 PPP)
Europe & Central Asia,Georgia,1.46,$8.30 (2021 PPP)
Sub-Saharan Africa,Ghana,11.4,$3.00 (2021 PPP)
Sub-Saharan Africa,Ghana,17.18,$4.20 (2021 PPP)
Sub-Saharan Africa,Ghana,28.51,$8.30 (2021 PPP)
Europe & Central Asia,Gibraltar,0,$3.00 (2021 PPP)
Europe & Central Asia,Gibraltar,0,$4.20 (2021 PPP)
Europe & Central Asia,Gibraltar,0,$8.30 (2021 PPP)
Sub-Saharan Africa,Guinea,1,$3.00 (2021 PPP)
Sub-Saharan Africa,Guinea,2.81,$4.20 (2021 PPP)
Sub-Saharan Africa,Guinea,10.14,$8.30 (2021 PPP)
Sub-Saharan Africa,"Gambia, The",0.45,$3.00 (2021 PPP)
Sub-Saharan Africa,"Gambia, The",0.95,$4.20 (2021 PPP)
Sub-Saharan Africa,"Gambia, The",2.09,$8.30 (2021 PPP)
Sub-Saharan Africa,Guinea-Bissau,0.79,$3.00 (2021 PPP)
Sub-Saharan Africa,Guinea-Bissau,1.31,$4.20 (2021 PPP)
Sub-Saharan Africa,Guinea-Bissau,2.05,$8.30 (2021 PPP)
Sub-Saharan Africa,Equatorial Guinea,0.21,$3.00 (2021 PPP)
Sub-Saharan Africa,Equatorial Guinea,0.5,$4.20 (2021 PPP)
Sub-Saharan Africa,Equatorial Guinea,1.24,$8.30 (2021 PPP)
Europe & Central Asia,Greece,0.05,$3.00 (2021 PPP)
Europe & Central Asia,Greece,0.08,$4.20 (2021 PPP)
Europe & Central Asia,Greece,0.28,$8.30 (2021 PPP)
Latin America & Caribbean,Grenada,0,$3.00 (2021 PPP)
Latin America & Caribbean,Grenada,0,$4.20 (2021 PPP)
Latin America & Caribbean,Grenada,0.02,$8.30 (2021 PPP)
Latin America & Caribbean,Guatemala,1.63,$3.00 (2021 PPP)
Latin America & Caribbean,Guatemala,2.92,$4.20 (2021 PPP)
Latin America & Caribbean,Guatemala,8.16,$8.30 (2021 PPP)
East Asia & Pacific,Guam,0,$3.00 (2021 PPP)
East Asia & Pacific,Guam,0,$4.20 (2021 PPP)
East Asia & Pacific,Guam,0,$8.30 (2021 PPP)
Latin America & Caribbean,Guyana,0,$3.00 (2021 PPP)
Latin America & Caribbean,Guyana,0.02,$4.20 (2021 PPP)
Latin America & Caribbean,Guyana,0.03,$8.30 (2021 PPP)
East Asia & Pacific,"Hong Kong SAR, China",0,$3.00 (2021 PPP)
East Asia & Pacific,"Hong Kong SAR, China",0,$4.20 (2021 PPP)
East Asia & Pacific,"Hong Kong SAR, China",0.01,$8.30 (2021 PPP)
Latin America & Caribbean,Honduras,1.69,$3.00 (2021 PPP)
Latin America & Caribbean,Honduras,2.51,$4.20 (2021 PPP)
Latin America & Caribbean,Honduras,5.34,$8.30 (2021 PPP)
Europe & Central Asia,Croatia,0.01,$3.00 (2021 PPP)
Europe & Central Asia,Croatia,0.02,$4.20 (2021 PPP)
Europe & Central Asia,Croatia,0.06,$8.30 (2021 PPP)
Latin America & Caribbean,Haiti,5.75,$3.00 (2021 PPP)
Latin America & Caribbean,Haiti,8.07,$4.20 (2021 PPP)
Latin America & Caribbean,Haiti,11.04,$8.30 (2021 PPP)
Europe & Central Asia,Hungary,0.07,$3.00 (2021 PPP)
Europe & Central Asia,Hungary,0.11,$4.20 (2021 PPP)
Europe & Central Asia,Hungary,0.35,$8.30 (2021 PPP)
East Asia & Pacific,Indonesia,9.92,$3.00 (2021 PPP)
East Asia & Pacific,Indonesia,42.87,$4.20 (2021 PPP)
East Asia & Pacific,Indonesia,181.96,$8.30 (2021 PPP)
Europe & Central Asia,Isle of Man,0,$3.00 (2021 PPP)
Europe & Central Asia,Isle of Man,0,$4.20 (2021 PPP)
Europe & Central Asia,Isle of Man,0,$8.30 (2021 PPP)
South Asia,India,35.14,$3.00 (2021 PPP)
South Asia,India,202.15,$4.20 (2021 PPP)
South Asia,India,1079.49,$8.30 (2021 PPP)
Europe & Central Asia,Ireland,0,$3.00 (2021 PPP)
Europe & Central Asia,Ireland,0,$4.20 (2021 PPP)
Europe & Central Asia,Ireland,0.01,$8.30 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan","Iran, Islamic Rep.",2.4,$3.00 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan","Iran, Islamic Rep.",7.15,$4.20 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan","Iran, Islamic Rep.",34.1,$8.30 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Iraq,0.27,$3.00 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Iraq,1.25,$4.20 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Iraq,13.94,$8.30 (2021 PPP)
Europe & Central Asia,Iceland,0,$3.00 (2021 PPP)
Europe & Central Asia,Iceland,0,$4.20 (2021 PPP)
Europe & Central Asia,Iceland,0,$8.30 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Israel,0.03,$3.00 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Israel,0.08,$4.20 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Israel,0.45,$8.30 (2021 PPP)
Europe & Central Asia,Italy,0.54,$3.00 (2021 PPP)
Europe & Central Asia,Italy,0.61,$4.20 (2021 PPP)
Europe & Central Asia,Italy,1.08,$8.30 (2021 PPP)
Latin America & Caribbean,Jamaica,0.03,$3.00 (2021 PPP)
Latin America & Caribbean,Jamaica,0.11,$4.20 (2021 PPP)
Latin America & Caribbean,Jamaica,0.57,$8.30 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Jordan,0.02,$3.00 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Jordan,0.15,$4.20 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Jordan,2.18,$8.30 (2021 PPP)
East Asia & Pacific,Japan,1.13,$3.00 (2021 PPP)
East Asia & Pacific,Japan,1.74,$4.20 (2021 PPP)
East Asia & Pacific,Japan,3.48,$8.30 (2021 PPP)
Europe & Central Asia,Kazakhstan,0,$3.00 (2021 PPP)
Europe & Central Asia,Kazakhstan,0.02,$4.20 (2021 PPP)
Europe & Central Asia,Kazakhstan,1.42,$8.30 (2021 PPP)
Sub-Saharan Africa,Kenya,23.68,$3.00 (2021 PPP)
Sub-Saharan Africa,Kenya,36.54,$4.20 (2021 PPP)
Sub-Saharan Africa,Kenya,52.01,$8.30 (2021 PPP)
Europe & Central Asia,Kyrgyz Republic,0.11,$3.00 (2021 PPP)
Europe & Central Asia,Kyrgyz Republic,0.68,$4.20 (2021 PPP)
Europe & Central Asia,Kyrgyz Republic,4.42,$8.30 (2021 PPP)
East Asia & Pacific,Cambodia,1.31,$3.00 (2021 PPP)
East Asia & Pacific,Cambodia,3.1,$4.20 (2021 PPP)
East Asia & Pacific,Cambodia,10.77,$8.30 (2021 PPP)
East Asia & Pacific,Kiribati,0,$3.00 (2021 PPP)
East Asia & Pacific,Kiribati,0.01,$4.20 (2021 PPP)
East Asia & Pacific,Kiribati,0.07,$8.30 (2021 PPP)
Latin America & Caribbean,St. Kitts and Nevis,0,$3.00 (2021 PPP)
Latin America & Caribbean,St. Kitts and Nevis,0,$4.20 (2021 PPP)
Latin America & Caribbean,St. Kitts and Nevis,0.01,$8.30 (2021 PPP)
East Asia & Pacific,"Korea, Rep.",0.03,$3.00 (2021 PPP)
East Asia & Pacific,"Korea, Rep.",0.06,$4.20 (2021 PPP)
East Asia & Pacific,"Korea, Rep.",0.19,$8.30 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Kuwait,0,$3.00 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Kuwait,0.01,$4.20 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Kuwait,0.05,$8.30 (2021 PPP)
East Asia & Pacific,Lao PDR,0.5,$3.00 (2021 PPP)
East Asia & Pacific,Lao PDR,1.61,$4.20 (2021 PPP)
East Asia & Pacific,Lao PDR,5.45,$8.30 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Lebanon,0.36,$3.00 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Lebanon,0.94,$4.20 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Lebanon,3.04,$8.30 (2021 PPP)
Sub-Saharan Africa,Liberia,1.85,$3.00 (2021 PPP)
Sub-Saharan Africa,Liberia,3.08,$4.20 (2021 PPP)
Sub-Saharan Africa,Liberia,5.07,$8.30 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Libya,0.1,$3.00 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Libya,0.27,$4.20 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Libya,1.58,$8.30 (2021 PPP)
Latin America & Caribbean,St. Lucia,0,$3.00 (2021 PPP)
Latin America & Caribbean,St. Lucia,0,$4.20 (2021 PPP)
Latin America & Caribbean,St. Lucia,0.01,$8.30 (2021 PPP)
Europe & Central Asia,Liechtenstein,0,$3.00 (2021 PPP)
Europe & Central Asia,Liechtenstein,0,$4.20 (2021 PPP)
Europe & Central Asia,Liechtenstein,0,$8.30 (2021 PPP)
South Asia,Sri Lanka,0.59,$3.00 (2021 PPP)
South Asia,Sri Lanka,2.5,$4.20 (2021 PPP)
South Asia,Sri Lanka,11.73,$8.30 (2021 PPP)
Sub-Saharan Africa,Lesotho,1.07,$3.00 (2021 PPP)
Sub-Saharan Africa,Lesotho,1.42,$4.20 (2021 PPP)
Sub-Saharan Africa,Lesotho,2.06,$8.30 (2021 PPP)
Europe & Central Asia,Lithuania,0.03,$3.00 (2021 PPP)
Europe & Central Asia,Lithuania,0.03,$4.20 (2021 PPP)
Europe & Central Asia,Lithuania,0.08,$8.30 (2021 PPP)
Europe & Central Asia,Luxembourg,0,$3.00 (2021 PPP)
Europe & Central Asia,Luxembourg,0,$4.20 (2021 PPP)
Europe & Central Asia,Luxembourg,0,$8.30 (2021 PPP)
Europe & Central Asia,Latvia,0.01,$3.00 (2021 PPP)
Europe & Central Asia,Latvia,0.01,$4.20 (2021 PPP)
Europe & Central Asia,Latvia,0.04,$8.30 (2021 PPP)
East Asia & Pacific,"Macao SAR, China",0,$3.00 (2021 PPP)
East Asia & Pacific,"Macao SAR, China",0,$4.20 (2021 PPP)
East Asia & Pacific,"Macao SAR, China",0,$8.30 (2021 PPP)
Latin America & Caribbean,St. Martin (French part),0,$3.00 (2021 PPP)
Latin America & Caribbean,St. Martin (French part),0,$4.20 (2021 PPP)
Latin America & Caribbean,St. Martin (French part),0,$8.30 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Morocco,0.83,$3.00 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Morocco,2.78,$4.20 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Morocco,15.01,$8.30 (2021 PPP)
Europe & Central Asia,Monaco,0,$3.00 (2021 PPP)
Europe & Central Asia,Monaco,0,$4.20 (2021 PPP)
Europe & Central Asia,Monaco,0,$8.30 (2021 PPP)
Europe & Central Asia,Moldova,0,$3.00 (2021 PPP)
Europe & Central Asia,Moldova,0.01,$4.20 (2021 PPP)
Europe & Central Asia,Moldova,0.33,$8.30 (2021 PPP)
Sub-Saharan Africa,Madagascar,22.39,$3.00 (2021 PPP)
Sub-Saharan Africa,Madagascar,27.6,$4.20 (2021 PPP)
Sub-Saharan Africa,Madagascar,32.22,$8.30 (2021 PPP)
South Asia,Maldives,0,$3.00 (2021 PPP)
South Asia,Maldives,0,$4.20 (2021 PPP)
South Asia,Maldives,0.02,$8.30 (2021 PPP)
Latin America & Caribbean,Mexico,2.15,$3.00 (2021 PPP)
Latin America & Caribbean,Mexico,5.44,$4.20 (2021 PPP)
Latin America & Caribbean,Mexico,28.1,$8.30 (2021 PPP)
East Asia & Pacific,Marshall Islands,0,$3.00 (2021 PPP)
East Asia & Pacific,Marshall Islands,0,$4.20 (2021 PPP)
East Asia & Pacific,Marshall Islands,0.01,$8.30 (2021 PPP)
Europe & Central Asia,North Macedonia,0.05,$3.00 (2021 PPP)
Europe & Central Asia,North Macedonia,0.09,$4.20 (2021 PPP)
Europe & Central Asia,North Macedonia,0.25,$8.30 (2021 PPP)
Sub-Saharan Africa,Mali,8.44,$3.00 (2021 PPP)
Sub-Saharan Africa,Mali,14.43,$4.20 (2021 PPP)
Sub-Saharan Africa,Mali,22.57,$8.30 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Malta,0,$3.00 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Malta,0,$4.20 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Malta,0.01,$8.30 (2021 PPP)
East Asia & Pacific,Myanmar,7.86,$3.00 (2021 PPP)
East Asia & Pacific,Myanmar,20.18,$4.20 (2021 PPP)
East Asia & Pacific,Myanmar,46.27,$8.30 (2021 PPP)
Europe & Central Asia,Montenegro,0.01,$3.00 (2021 PPP)
Europe & Central Asia,Montenegro,0.01,$4.20 (2021 PPP)
Europe & Central Asia,Montenegro,0.04,$8.30 (2021 PPP)
