country_code,Country Name,country_name_flourish,Region,Survey year,Gini index,Welfare type,Classification
ISR,Israel,Israel,"Middle East, North Africa, Afghanistan & Pakistan",2021,37.893850154300004,income,Moderate inequality
ITA,Italy,Italy,Europe & Central Asia,2023,34.3446238921,income,Moderate inequality
JAM,Jamaica,Jamaica,Latin America & Caribbean,2021,39.874473579000004,consumption,Moderate inequality
JOR,Jordan,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",2010.24,33.655730311,consumption,Moderate inequality
JPN,Japan,Japan,East Asia & Pacific,2020,32.3392757261,income,Moderate inequality
KAZ,Kazakhstan,Kazakhstan,Europe & Central Asia,2021,29.1915315791,consumption,Low inequality
KEN,Kenya,Kenya,Sub-Saharan Africa,2022.67,37.7437738176,consumption,Moderate inequality
KGZ,Kyrgyz Republic,Kyrgyzstan,Europe & Central Asia,2023,27.188019812100002,consumption,Low inequality
KIR,Kiribati,Kiribati,East Asia & Pacific,2019.27,27.832703041000002,consumption,Low inequality
KOR,"Korea, Rep.",South Korea,East Asia & Pacific,2021,32.906573271599996,income,Moderate inequality
LAO,Lao PDR,Laos,East Asia & Pacific,2018.42,38.8024337859,consumption,Moderate inequality
LBN,Lebanon,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",2022.8,35.2811376782,consumption,Moderate inequality
LBR,Liberia,Liberia,Sub-Saharan Africa,2016,35.2654394732,consumption,Moderate inequality
LCA,St. Lucia,St. Lucia,Latin America & Caribbean,2015.78,43.6934194418,consumption,High inequality
LCA,St. Lucia,St. Lucia,Latin America & Caribbean,2015.78,51.2250668185,income,High inequality
LKA,Sri Lanka,Sri Lanka,South Asia,2019,37.6637771634,consumption,Moderate inequality
LSO,Lesotho,Lesotho,Sub-Saharan Africa,2017.14,44.8776131498,consumption,High inequality
LTU,Lithuania,Lithuania,Europe & Central Asia,2023,35.9616529657,income,Moderate inequality
LUX,Luxembourg,Luxembourg,Europe & Central Asia,2023,33.5914632276,income,Moderate inequality
LVA,Latvia,Latvia,Europe & Central Asia,2023,33.974681401,income,Moderate inequality
MAR,Morocco,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",2013.5,39.5485087012,consumption,Moderate inequality
MDA,Moldova,Moldova,Europe & Central Asia,2023,26.7647529484,consumption,Low inequality
MDG,Madagascar,Madagascar,Sub-Saharan Africa,2021.75,36.819211454299996,consumption,Moderate inequality
MDV,Maldives,Maldives,South Asia,2019.6,29.285091269800002,consumption,Low inequality
MEX,Mexico,Mexico,Latin America & Caribbean,2022,43.4540071467,income,High inequality
MHL,Marshall Islands,Marshall Islands,East Asia & Pacific,2019.5,35.482942888000004,consumption,Moderate inequality
MKD,North Macedonia,Republic of Macedonia,Europe & Central Asia,2019,33.5058314179,income,Moderate inequality
MLI,Mali,Mali,Sub-Saharan Africa,2021.57,35.6535942464,consumption,Moderate inequality
MLT,Malta,Malta,"Middle East, North Africa, Afghanistan & Pakistan",2022,34.587276272900006,income,Moderate inequality
MMR,Myanmar,Myanmar,East Asia & Pacific,2017,30.6968695324,consumption,Moderate inequality
MNE,Montenegro,Montenegro,Europe & Central Asia,2021,34.2969735974,income,Moderate inequality
MNG,Mongolia,Mongolia,East Asia & Pacific,2022,31.4164745932,consumption,Moderate inequality
MOZ,Mozambique,Mozambique,Sub-Saharan Africa,2022.08,49.557134678800004,consumption,High inequality
MRT,Mauritania,Mauritania,Sub-Saharan Africa,2019.6,31.996747568599996,consumption,Moderate inequality
MUS,Mauritius,Mauritius,Sub-Saharan Africa,2017,36.761205938,consumption,Moderate inequality
MWI,Malawi,Malawi,Sub-Saharan Africa,2019.31,38.542736815299996,consumption,Moderate inequality
MYS,Malaysia,Malaysia,East Asia & Pacific,2021.46,40.6684269677,income,High inequality
NAM,Namibia,Namibia,Sub-Saharan Africa,2015.27,59.0666143678,consumption,High inequality
NER,Niger,Niger,Sub-Saharan Africa,2021.5,32.8625637644,consumption,Moderate inequality
NGA,Nigeria,Nigeria,Sub-Saharan Africa,2022.71,33.8948689783,consumption,Moderate inequality
NIC,Nicaragua,Nicaragua,Latin America & Caribbean,2014,46.1562941857,income,High inequality
NLD,Netherlands,Netherlands,Europe & Central Asia,2021,25.7438692891,income,Low inequality
NOR,Norway,Norway,Europe & Central Asia,2023,26.5308108802,income,Low inequality
NPL,Nepal,Nepal,South Asia,2022.5,30.020262481600003,consumption,Moderate inequality
NRU,Nauru,Nauru,East Asia & Pacific,2012.69,32.3615792583,consumption,Moderate inequality
PAK,Pakistan,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",2018.5,29.5892655976,consumption,Low inequality
PAN,Panama,Panama,Latin America & Caribbean,2024,49.7335432231,income,High inequality
PER,Peru,Peru,Latin America & Caribbean,2024,40.1258629673,income,High inequality
PHL,Philippines,Philippines,East Asia & Pacific,2023,35.203486233999996,consumption,Moderate inequality
PHL,Philippines,Philippines,East Asia & Pacific,2023,39.3361660414,income,Moderate inequality
PNG,Papua New Guinea,Papua New Guinea,East Asia & Pacific,2009.67,41.8504087137,consumption,High inequality
POL,Poland,Poland,Europe & Central Asia,2023,28.466788816100003,income,Low inequality
PRT,Portugal,Portugal,Europe & Central Asia,2023,33.8515657019,income,Moderate inequality
PRY,Paraguay,Paraguay,Latin America & Caribbean,2024,44.2453362094,income,High inequality
PSE,West Bank and Gaza,Palestine,"Middle East, North Africa, Afghanistan & Pakistan",2023,36.3818751729,consumption,Moderate inequality
QAT,Qatar,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",2017.5,35.1283861055,income,Moderate inequality
ROU,Romania,Romania,Europe & Central Asia,2023,29.828943316500002,income,Low inequality
RUS,Russian Federation,Russia,Europe & Central Asia,2023,33.0062453101,income,Moderate inequality
RWA,Rwanda,Rwanda,Sub-Saharan Africa,2023.77,39.3644476498,consumption,Moderate inequality
SDN,Sudan,Sudan,Sub-Saharan Africa,2014,34.2429421871,consumption,Moderate inequality
SEN,Senegal,Senegal,Sub-Saharan Africa,2021.71,36.1577212421,consumption,Moderate inequality
SLB,Solomon Islands,Solomon Islands,East Asia & Pacific,2012.79,37.0549269732,consumption,Moderate inequality
SLE,Sierra Leone,Sierra Leone,Sub-Saharan Africa,2018,35.690177559199995,consumption,Moderate inequality
SLV,El Salvador,El Salvador,Latin America & Caribbean,2023,39.8023791927,income,Moderate inequality
SRB,Serbia,Serbia,Europe & Central Asia,2022,32.8028880557,income,Moderate inequality
SSD,South Sudan,South Sudan,Sub-Saharan Africa,2016.5,44.0478106873,consumption,High inequality
STP,São Tomé and Príncipe,São Tomé and Príncipe,Sub-Saharan Africa,2017,40.7294816336,consumption,High inequality
SUR,Suriname,Suriname,Latin America & Caribbean,2022,39.179896748,consumption,Moderate inequality
SVK,Slovak Republic,Slovakia,Europe & Central Asia,2023,23.8177154905,income,Low inequality
SVN,Slovenia,Slovenia,Europe & Central Asia,2023,24.6819581905,income,Low inequality
SWE,Sweden,Sweden,Europe & Central Asia,2023,29.2783302864,income,Low inequality
SWZ,Eswatini,Eswatini,Sub-Saharan Africa,2016.17,54.5797936695,consumption,High inequality
SYC,Seychelles,Seychelles,Sub-Saharan Africa,2018.08,32.125319711,income,Moderate inequality
SYR,Syrian Arab Republic,Syria,"Middle East, North Africa, Afghanistan & Pakistan",2022,26.628073115200003,consumption,Low inequality
TCD,Chad,Chad,Sub-Saharan Africa,2022,37.357686373,consumption,Moderate inequality
TGO,Togo,Togo,Sub-Saharan Africa,2021.63,37.8580048835,consumption,Moderate inequality
THA,Thailand,Thailand,East Asia & Pacific,2023,33.49489074,consumption,Moderate inequality
TJK,Tajikistan,Tajikistan,Europe & Central Asia,2024,36.108003229199994,consumption,Moderate inequality
TKM,Turkmenistan,Turkmenistan,Europe & Central Asia,1998,40.8069274032,consumption,High inequality
TLS,Timor-Leste,Timor-Leste,East Asia & Pacific,2014,28.652926359699997,consumption,Low inequality
TON,Tonga,Tonga,East Asia & Pacific,2021,27.0957647994,consumption,Low inequality
TTO,Trinidad and Tobago,Trinidad and Tobago,Latin America & Caribbean,1992,40.1854507123,income,High inequality
TUN,Tunisia,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",2021.23,33.7164263054,consumption,Moderate inequality
TUR,Türkiye,Türkiye,Europe & Central Asia,2022,44.4676749728,income,High inequality
TUV,Tuvalu,Tuvalu,East Asia & Pacific,2010,39.1390333816,consumption,Moderate inequality
TWN,"Taiwan, China","Taiwan, China",East Asia & Pacific,2021,31.566375906100003,income,Moderate inequality
TZA,Tanzania,Tanzania,Sub-Saharan Africa,2017.92,40.4912299518,consumption,High inequality
UGA,Uganda,Uganda,Sub-Saharan Africa,2019.64,42.7021769098,consumption,High inequality
UKR,Ukraine,Ukraine,Europe & Central Asia,2020,25.6273613123,consumption,Low inequality
URY,Uruguay,Uruguay,Latin America & Caribbean,2024,39.9841460249,income,Moderate inequality
USA,United States,United States of America,North America,2023,41.8188785856,income,High inequality
UZB,Uzbekistan,Uzbekistan,Europe & Central Asia,2024,34.5633643618,income,Moderate inequality
VEN,"Venezuela, RB","Venezuela, RB",Latin America & Caribbean,2006,44.6983628572,income,High inequality
VNM,Viet Nam,Vietnam,East Asia & Pacific,2022,36.0930040903,consumption,Moderate inequality
VUT,Vanuatu,Vanuatu,East Asia & Pacific,2019.21,32.3175747576,consumption,Moderate inequality
WSM,Samoa,Samoa,East Asia & Pacific,2013.25,38.7434549758,consumption,Moderate inequality
XKX,Kosovo,Kosovo,Europe & Central Asia,2022,38.305665531100004,income,Moderate inequality
YEM,"Yemen, Rep.",Yemen,"Middle East, North Africa, Afghanistan & Pakistan",2014,36.707094342699996,consumption,Moderate inequality
ZAF,South Africa,South Africa,Sub-Saharan Africa,2014.83,63.0257167965,consumption,High inequality
ZMB,Zambia,Zambia,Sub-Saharan Africa,2022,51.4849457197,consumption,High inequality
ZWE,Zimbabwe,Zimbabwe,Sub-Saharan Africa,2019,50.2564510456,consumption,High inequality
