Country Name,Income classification 2021,Population 2021,Region,Country Code
Belgium,High income,11586195,Europe & Central Asia,BEL
Belgium,High income,11586195,Europe & Central Asia,BEL
Benin,Lower middle income,13413417,Sub-Saharan Africa,BEN
Benin,Lower middle income,13413417,Sub-Saharan Africa,BEN
Benin,Lower middle income,13413417,Sub-Saharan Africa,BEN
Burkina Faso,Low income,21995243,Sub-Saharan Africa,BFA
Burkina Faso,Low income,21995243,Sub-Saharan Africa,BFA
Burkina Faso,Low income,21995243,Sub-Saharan Africa,BFA
Bangladesh,Lower middle income,167658854,South Asia,BGD
Bangladesh,Lower middle income,167658854,South Asia,BGD
Bangladesh,Lower middle income,167658854,South Asia,BGD
Bulgaria,High income,6507301,Europe & Central Asia,BGR
Bulgaria,High income,6507301,Europe & Central Asia,BGR
Bulgaria,High income,6507301,Europe & Central Asia,BGR
Bahrain,High income,1504365,"Middle East, North Africa, Afghanistan & Pakistan",BHR
Bahrain,High income,1504365,"Middle East, North Africa, Afghanistan & Pakistan",BHR
Bahrain,High income,1504365,"Middle East, North Africa, Afghanistan & Pakistan",BHR
"Bahamas, The",High income,396373,Latin America & Caribbean,BHS
"Bahamas, The",High income,396373,Latin America & Caribbean,BHS
"Bahamas, The",High income,396373,Latin America & Caribbean,BHS
Bosnia and Herzegovina,Upper middle income,3244907,Europe & Central Asia,BIH
Bosnia and Herzegovina,Upper middle income,3244907,Europe & Central Asia,BIH
Bosnia and Herzegovina,Upper middle income,3244907,Europe & Central Asia,BIH
Belarus,Upper middle income,9302585,Europe & Central Asia,BLR
Belarus,Upper middle income,9302585,Europe & Central Asia,BLR
Belarus,Upper middle income,9302585,Europe & Central Asia,BLR
Belize,Upper middle income,395346,Latin America & Caribbean,BLZ
Belize,Upper middle income,395346,Latin America & Caribbean,BLZ
Belize,Upper middle income,395346,Latin America & Caribbean,BLZ
Bermuda,High income,64648,North America,BMU
Bermuda,High income,64648,North America,BMU
Bermuda,High income,64648,North America,BMU
Bolivia,Lower middle income,11937360,Latin America & Caribbean,BOL
Bolivia,Lower middle income,11937360,Latin America & Caribbean,BOL
Bolivia,Lower middle income,11937360,Latin America & Caribbean,BOL
Brazil,Upper middle income,209550294,Latin America & Caribbean,BRA
Brazil,Upper middle income,209550294,Latin America & Caribbean,BRA
Brazil,Upper middle income,209550294,Latin America & Caribbean,BRA
Barbados,High income,282147,Latin America & Caribbean,BRB
Barbados,High income,282147,Latin America & Caribbean,BRB
Barbados,High income,282147,Latin America & Caribbean,BRB
Brunei Darussalam,High income,451721,East Asia & Pacific,BRN
Brunei Darussalam,High income,451721,East Asia & Pacific,BRN
Brunei Darussalam,High income,451721,East Asia & Pacific,BRN
Bhutan,Lower middle income,775442,South Asia,BTN
Bhutan,Lower middle income,775442,South Asia,BTN
Bhutan,Lower middle income,775442,South Asia,BTN
Botswana,Upper middle income,2401441,Sub-Saharan Africa,BWA
Botswana,Upper middle income,2401441,Sub-Saharan Africa,BWA
Botswana,Upper middle income,2401441,Sub-Saharan Africa,BWA
Central African Republic,Low income,5112100,Sub-Saharan Africa,CAF
Central African Republic,Low income,5112100,Sub-Saharan Africa,CAF
Central African Republic,Low income,5112100,Sub-Saharan Africa,CAF
Canada,High income,38239864,North America,CAN
Canada,High income,38239864,North America,CAN
Canada,High income,38239864,North America,CAN
Switzerland,High income,8704546,Europe & Central Asia,CHE
Switzerland,High income,8704546,Europe & Central Asia,CHE
Switzerland,High income,8704546,Europe & Central Asia,CHE
Channel Islands,High income,166741,Europe & Central Asia,CHI
Channel Islands,High income,166741,Europe & Central Asia,CHI
Channel Islands,High income,166741,Europe & Central Asia,CHI
Chile,High income,19456334,Latin America & Caribbean,CHL
Chile,High income,19456334,Latin America & Caribbean,CHL
Chile,High income,19456334,Latin America & Caribbean,CHL
China,Upper middle income,1412360000,East Asia & Pacific,CHN
China,Upper middle income,1412360000,East Asia & Pacific,CHN
China,Upper middle income,1412360000,East Asia & Pacific,CHN
Côte d'Ivoire,Lower middle income,29639736,Sub-Saharan Africa,CIV
Côte d'Ivoire,Lower middle income,29639736,Sub-Saharan Africa,CIV
Côte d'Ivoire,Lower middle income,29639736,Sub-Saharan Africa,CIV
Cameroon,Lower middle income,26915758,Sub-Saharan Africa,CMR
Cameroon,Lower middle income,26915758,Sub-Saharan Africa,CMR
Cameroon,Lower middle income,26915758,Sub-Saharan Africa,CMR
"Congo, Dem. Rep.",Low income,99148932,Sub-Saharan Africa,COD
"Congo, Dem. Rep.",Low income,99148932,Sub-Saharan Africa,COD
"Congo, Dem. Rep.",Low income,99148932,Sub-Saharan Africa,COD
"Congo, Rep.",Lower middle income,5892183,Sub-Saharan Africa,COG
"Congo, Rep.",Lower middle income,5892183,Sub-Saharan Africa,COG
"Congo, Rep.",Lower middle income,5892183,Sub-Saharan Africa,COG
Colombia,Upper middle income,51188173,Latin America & Caribbean,COL
Colombia,Upper middle income,51188173,Latin America & Caribbean,COL
Colombia,Upper middle income,51188173,Latin America & Caribbean,COL
Comoros,Lower middle income,818174,Sub-Saharan Africa,COM
Comoros,Lower middle income,818174,Sub-Saharan Africa,COM
Comoros,Lower middle income,818174,Sub-Saharan Africa,COM
Cabo Verde,Upper middle income,516649,Sub-Saharan Africa,CPV
Cabo Verde,Upper middle income,516649,Sub-Saharan Africa,CPV
Cabo Verde,Upper middle income,516649,Sub-Saharan Africa,CPV
Costa Rica,High income,5059988,Latin America & Caribbean,CRI
Costa Rica,High income,5059988,Latin America & Caribbean,CRI
Costa Rica,High income,5059988,Latin America & Caribbean,CRI
Cuba,Upper middle income,11122168,Latin America & Caribbean,CUB
Cuba,Upper middle income,11122168,Latin America & Caribbean,CUB
Cuba,Upper middle income,11122168,Latin America & Caribbean,CUB
Curaçao,High income,152369,Latin America & Caribbean,CUW
Curaçao,High income,152369,Latin America & Caribbean,CUW
Curaçao,High income,152369,Latin America & Caribbean,CUW
Cayman Islands,High income,70108,Latin America & Caribbean,CYM
Cayman Islands,High income,70108,Latin America & Caribbean,CYM
Cayman Islands,High income,70108,Latin America & Caribbean,CYM
Cyprus,High income,1317309,Europe & Central Asia,CYP
Cyprus,High income,1317309,Europe & Central Asia,CYP
Cyprus,High income,1317309,Europe & Central Asia,CYP
Czechia,High income,10505772,Europe & Central Asia,CZE
Czechia,High income,10505772,Europe & Central Asia,CZE
Czechia,High income,10505772,Europe & Central Asia,CZE
Germany,High income,83196078,Europe & Central Asia,DEU
Germany,High income,83196078,Europe & Central Asia,DEU
Germany,High income,83196078,Europe & Central Asia,DEU
Djibouti,Lower middle income,1121248,"Middle East, North Africa, Afghanistan & Pakistan",DJI
Djibouti,Lower middle income,1121248,"Middle East, North Africa, Afghanistan & Pakistan",DJI
Djibouti,Lower middle income,1121248,"Middle East, North Africa, Afghanistan & Pakistan",DJI
Dominica,Upper middle income,67202,Latin America & Caribbean,DMA
Dominica,Upper middle income,67202,Latin America & Caribbean,DMA
Dominica,Upper middle income,67202,Latin America & Caribbean,DMA
Denmark,High income,5856733,Europe & Central Asia,DNK
Denmark,High income,5856733,Europe & Central Asia,DNK
Denmark,High income,5856733,Europe & Central Asia,DNK
Dominican Republic,Upper middle income,11123476,Latin America & Caribbean,DOM
Dominican Republic,Upper middle income,11123476,Latin America & Caribbean,DOM
Dominican Republic,Upper middle income,11123476,Latin America & Caribbean,DOM
Algeria,Upper middle income,44761099,"Middle East, North Africa, Afghanistan & Pakistan",DZA
Algeria,Upper middle income,44761099,"Middle East, North Africa, Afghanistan & Pakistan",DZA
Algeria,Upper middle income,44761099,"Middle East, North Africa, Afghanistan & Pakistan",DZA
Ecuador,Upper middle income,17682454,Latin America & Caribbean,ECU
Ecuador,Upper middle income,17682454,Latin America & Caribbean,ECU
Ecuador,Upper middle income,17682454,Latin America & Caribbean,ECU
"Egypt, Arab Rep.",Lower middle income,110957008,"Middle East, North Africa, Afghanistan & Pakistan",EGY
"Egypt, Arab Rep.",Lower middle income,110957008,"Middle East, North Africa, Afghanistan & Pakistan",EGY
"Egypt, Arab Rep.",Lower middle income,110957008,"Middle East, North Africa, Afghanistan & Pakistan",EGY
Eritrea,Low income,3350183,Sub-Saharan Africa,ERI
Eritrea,Low income,3350183,Sub-Saharan Africa,ERI
Eritrea,Low income,3350183,Sub-Saharan Africa,ERI
Spain,High income,47443821,Europe & Central Asia,ESP
Spain,High income,47443821,Europe & Central Asia,ESP
Spain,High income,47443821,Europe & Central Asia,ESP
Estonia,High income,1330932,Europe & Central Asia,EST
Estonia,High income,1330932,Europe & Central Asia,EST
Estonia,High income,1330932,Europe & Central Asia,EST
Ethiopia,Low income,122138588,Sub-Saharan Africa,ETH
Ethiopia,Low income,122138588,Sub-Saharan Africa,ETH
Ethiopia,Low income,122138588,Sub-Saharan Africa,ETH
Finland,High income,5541017,Europe & Central Asia,FIN
Finland,High income,5541017,Europe & Central Asia,FIN
Finland,High income,5541017,Europe & Central Asia,FIN
Fiji,Upper middle income,916711,East Asia & Pacific,FJI
Fiji,Upper middle income,916711,East Asia & Pacific,FJI
Fiji,Upper middle income,916711,East Asia & Pacific,FJI
France,High income,67842811,Europe & Central Asia,FRA
France,High income,67842811,Europe & Central Asia,FRA
France,High income,67842811,Europe & Central Asia,FRA
Faeroe Islands,High income,53305,Europe & Central Asia,FRO
Faeroe Islands,High income,53305,Europe & Central Asia,FRO
Faeroe Islands,High income,53305,Europe & Central Asia,FRO
"Micronesia, Fed. Sts.",Lower middle income,111624,East Asia & Pacific,FSM
"Micronesia, Fed. Sts.",Lower middle income,111624,East Asia & Pacific,FSM
"Micronesia, Fed. Sts.",Lower middle income,111624,East Asia & Pacific,FSM
Gabon,Upper middle income,2376722,Sub-Saharan Africa,GAB
Gabon,Upper middle income,2376722,Sub-Saharan Africa,GAB
Gabon,Upper middle income,2376722,Sub-Saharan Africa,GAB
United Kingdom,High income,66984000,Europe & Central Asia,GBR
United Kingdom,High income,66984000,Europe & Central Asia,GBR
United Kingdom,High income,66984000,Europe & Central Asia,GBR
Georgia,Upper middle income,3708610,Europe & Central Asia,GEO
Georgia,Upper middle income,3708610,Europe & Central Asia,GEO
Georgia,Upper middle income,3708610,Europe & Central Asia,GEO
Ghana,Lower middle income,32518665,Sub-Saharan Africa,GHA
Ghana,Lower middle income,32518665,Sub-Saharan Africa,GHA
Ghana,Lower middle income,32518665,Sub-Saharan Africa,GHA
Gibraltar,High income,36858,Europe & Central Asia,GIB
Gibraltar,High income,36858,Europe & Central Asia,GIB
Gibraltar,High income,36858,Europe & Central Asia,GIB
Guinea,Lower middle income,13710513,Sub-Saharan Africa,GIN
Guinea,Lower middle income,13710513,Sub-Saharan Africa,GIN
Guinea,Lower middle income,13710513,Sub-Saharan Africa,GIN
"Gambia, The",Low income,2576010,Sub-Saharan Africa,GMB
"Gambia, The",Low income,2576010,Sub-Saharan Africa,GMB
"Gambia, The",Low income,2576010,Sub-Saharan Africa,GMB
Guinea-Bissau,Low income,2058841,Sub-Saharan Africa,GNB
Guinea-Bissau,Low income,2058841,Sub-Saharan Africa,GNB
Guinea-Bissau,Low income,2058841,Sub-Saharan Africa,GNB
Equatorial Guinea,Upper middle income,1758786,Sub-Saharan Africa,GNQ
Equatorial Guinea,Upper middle income,1758786,Sub-Saharan Africa,GNQ
Equatorial Guinea,Upper middle income,1758786,Sub-Saharan Africa,GNQ
Greece,High income,10569207,Europe & Central Asia,GRC
Greece,High income,10569207,Europe & Central Asia,GRC
Greece,High income,10569207,Europe & Central Asia,GRC
Grenada,Upper middle income,116688,Latin America & Caribbean,GRD
Grenada,Upper middle income,116688,Latin America & Caribbean,GRD
Grenada,Upper middle income,116688,Latin America & Caribbean,GRD
Greenland,High income,56653,Europe & Central Asia,GRL
Greenland,High income,56653,Europe & Central Asia,GRL
Greenland,High income,56653,Europe & Central Asia,GRL
Guatemala,Upper middle income,17598650,Latin America & Caribbean,GTM
Guatemala,Upper middle income,17598650,Latin America & Caribbean,GTM
Guatemala,Upper middle income,17598650,Latin America & Caribbean,GTM
Guam,High income,163730,East Asia & Pacific,GUM
Guam,High income,163730,East Asia & Pacific,GUM
Guam,High income,163730,East Asia & Pacific,GUM
Guyana,High income,815482,Latin America & Caribbean,GUY
Guyana,High income,815482,Latin America & Caribbean,GUY
Guyana,High income,815482,Latin America & Caribbean,GUY
"Hong Kong SAR, China",High income,7413100,East Asia & Pacific,HKG
"Hong Kong SAR, China",High income,7413100,East Asia & Pacific,HKG
"Hong Kong SAR, China",High income,7413100,East Asia & Pacific,HKG
Honduras,Lower middle income,10289877,Latin America & Caribbean,HND
Honduras,Lower middle income,10289877,Latin America & Caribbean,HND
Honduras,Lower middle income,10289877,Latin America & Caribbean,HND
Croatia,High income,3878981,Europe & Central Asia,HRV
Croatia,High income,3878981,Europe & Central Asia,HRV
Croatia,High income,3878981,Europe & Central Asia,HRV
Haiti,Lower middle income,11374586,Latin America & Caribbean,HTI
Haiti,Lower middle income,11374586,Latin America & Caribbean,HTI
Haiti,Lower middle income,11374586,Latin America & Caribbean,HTI
Hungary,High income,9630932,Europe & Central Asia,HUN
Hungary,High income,9630932,Europe & Central Asia,HUN
Hungary,High income,9630932,Europe & Central Asia,HUN
Indonesia,Upper middle income,276758053,East Asia & Pacific,IDN
Indonesia,Upper middle income,276758053,East Asia & Pacific,IDN
Indonesia,Upper middle income,276758053,East Asia & Pacific,IDN
Isle of Man,High income,84106,Europe & Central Asia,IMN
Isle of Man,High income,84106,Europe & Central Asia,IMN
Isle of Man,High income,84106,Europe & Central Asia,IMN
India,Lower middle income,1414203896,South Asia,IND
India,Lower middle income,1414203896,South Asia,IND
India,Lower middle income,1414203896,South Asia,IND
Ireland,High income,5110585,Europe & Central Asia,IRL
Ireland,High income,5110585,Europe & Central Asia,IRL
Ireland,High income,5110585,Europe & Central Asia,IRL
"Iran, Islamic Rep.",Upper middle income,88455488,"Middle East, North Africa, Afghanistan & Pakistan",IRN
"Iran, Islamic Rep.",Upper middle income,88455488,"Middle East, North Africa, Afghanistan & Pakistan",IRN
"Iran, Islamic Rep.",Upper middle income,88455488,"Middle East, North Africa, Afghanistan & Pakistan",IRN
Iraq,Upper middle income,43071211,"Middle East, North Africa, Afghanistan & Pakistan",IRQ
Iraq,Upper middle income,43071211,"Middle East, North Africa, Afghanistan & Pakistan",IRQ
Iraq,Upper middle income,43071211,"Middle East, North Africa, Afghanistan & Pakistan",IRQ
Iceland,High income,372520,Europe & Central Asia,ISL
Iceland,High income,372520,Europe & Central Asia,ISL
Iceland,High income,372520,Europe & Central Asia,ISL
Israel,High income,9371400,"Middle East, North Africa, Afghanistan & Pakistan",ISR
Israel,High income,9371400,"Middle East, North Africa, Afghanistan & Pakistan",ISR
Israel,High income,9371400,"Middle East, North Africa, Afghanistan & Pakistan",ISR
Italy,High income,59133173,Europe & Central Asia,ITA
Italy,High income,59133173,Europe & Central Asia,ITA
Italy,High income,59133173,Europe & Central Asia,ITA
Jamaica,Upper middle income,2837682,Latin America & Caribbean,JAM
Jamaica,Upper middle income,2837682,Latin America & Caribbean,JAM
Jamaica,Upper middle income,2837682,Latin America & Caribbean,JAM
Jordan,Lower middle income,11066356,"Middle East, North Africa, Afghanistan & Pakistan",JOR
Jordan,Lower middle income,11066356,"Middle East, North Africa, Afghanistan & Pakistan",JOR
Jordan,Lower middle income,11066356,"Middle East, North Africa, Afghanistan & Pakistan",JOR
Japan,High income,125681593,East Asia & Pacific,JPN
Japan,High income,125681593,East Asia & Pacific,JPN
Japan,High income,125681593,East Asia & Pacific,JPN
Kazakhstan,Upper middle income,19743603,Europe & Central Asia,KAZ
Kazakhstan,Upper middle income,19743603,Europe & Central Asia,KAZ
Kazakhstan,Upper middle income,19743603,Europe & Central Asia,KAZ
Kenya,Lower middle income,53219166,Sub-Saharan Africa,KEN
Kenya,Lower middle income,53219166,Sub-Saharan Africa,KEN
Kenya,Lower middle income,53219166,Sub-Saharan Africa,KEN
Kyrgyz Republic,Lower middle income,6851224,Europe & Central Asia,KGZ
Kyrgyz Republic,Lower middle income,6851224,Europe & Central Asia,KGZ
Kyrgyz Republic,Lower middle income,6851224,Europe & Central Asia,KGZ
Cambodia,Lower middle income,16974305,East Asia & Pacific,KHM
Cambodia,Lower middle income,16974305,East Asia & Pacific,KHM
Cambodia,Lower middle income,16974305,East Asia & Pacific,KHM
Kiribati,Lower middle income,128377,East Asia & Pacific,KIR
Kiribati,Lower middle income,128377,East Asia & Pacific,KIR
Kiribati,Lower middle income,128377,East Asia & Pacific,KIR
St. Kitts and Nevis,High income,46763,Latin America & Caribbean,KNA
St. Kitts and Nevis,High income,46763,Latin America & Caribbean,KNA
St. Kitts and Nevis,High income,46763,Latin America & Caribbean,KNA
"Korea, Rep.",High income,51769539,East Asia & Pacific,KOR
"Korea, Rep.",High income,51769539,East Asia & Pacific,KOR
"Korea, Rep.",High income,51769539,East Asia & Pacific,KOR
Kuwait,High income,4360865,"Middle East, North Africa, Afghanistan & Pakistan",KWT
Kuwait,High income,4360865,"Middle East, North Africa, Afghanistan & Pakistan",KWT
Kuwait,High income,4360865,"Middle East, North Africa, Afghanistan & Pakistan",KWT
Lao PDR,Lower middle income,7453194,East Asia & Pacific,LAO
Lao PDR,Lower middle income,7453194,East Asia & Pacific,LAO
Lao PDR,Lower middle income,7453194,East Asia & Pacific,LAO
Lebanon,Lower middle income,5718122,"Middle East, North Africa, Afghanistan & Pakistan",LBN
Lebanon,Lower middle income,5718122,"Middle East, North Africa, Afghanistan & Pakistan",LBN
Lebanon,Lower middle income,5718122,"Middle East, North Africa, Afghanistan & Pakistan",LBN
Liberia,Low income,5259323,Sub-Saharan Africa,LBR
Liberia,Low income,5259323,Sub-Saharan Africa,LBR
Liberia,Low income,5259323,Sub-Saharan Africa,LBR
Libya,Upper middle income,7135175,"Middle East, North Africa, Afghanistan & Pakistan",LBY
Libya,Upper middle income,7135175,"Middle East, North Africa, Afghanistan & Pakistan",LBY
Libya,Upper middle income,7135175,"Middle East, North Africa, Afghanistan & Pakistan",LBY
St. Lucia,Upper middle income,178522,Latin America & Caribbean,LCA
St. Lucia,Upper middle income,178522,Latin America & Caribbean,LCA
St. Lucia,Upper middle income,178522,Latin America & Caribbean,LCA
Liechtenstein,High income,39182,Europe & Central Asia,LIE
Liechtenstein,High income,39182,Europe & Central Asia,LIE
Liechtenstein,High income,39182,Europe & Central Asia,LIE
Sri Lanka,Lower middle income,22156000,South Asia,LKA
Sri Lanka,Lower middle income,22156000,South Asia,LKA
Sri Lanka,Lower middle income,22156000,South Asia,LKA
Lesotho,Lower middle income,2261542,Sub-Saharan Africa,LSO
Lesotho,Lower middle income,2261542,Sub-Saharan Africa,LSO
Lesotho,Lower middle income,2261542,Sub-Saharan Africa,LSO
Lithuania,High income,2808380,Europe & Central Asia,LTU
Lithuania,High income,2808380,Europe & Central Asia,LTU
Lithuania,High income,2808380,Europe & Central Asia,LTU
Luxembourg,High income,640064,Europe & Central Asia,LUX
Luxembourg,High income,640064,Europe & Central Asia,LUX
Luxembourg,High income,640064,Europe & Central Asia,LUX
Latvia,High income,1884490,Europe & Central Asia,LVA
Latvia,High income,1884490,Europe & Central Asia,LVA
Latvia,High income,1884490,Europe & Central Asia,LVA
"Macao SAR, China",High income,682500,East Asia & Pacific,MAC
"Macao SAR, China",High income,682500,East Asia & Pacific,MAC
"Macao SAR, China",High income,682500,East Asia & Pacific,MAC
St. Martin (French part),High income,29961,Latin America & Caribbean,MAF
St. Martin (French part),High income,29961,Latin America & Caribbean,MAF
St. Martin (French part),High income,29961,Latin America & Caribbean,MAF
Morocco,Lower middle income,36954442,"Middle East, North Africa, Afghanistan & Pakistan",MAR
Morocco,Lower middle income,36954442,"Middle East, North Africa, Afghanistan & Pakistan",MAR
Morocco,Lower middle income,36954442,"Middle East, North Africa, Afghanistan & Pakistan",MAR
Monaco,High income,38527,Europe & Central Asia,MCO
Monaco,High income,38527,Europe & Central Asia,MCO
Monaco,High income,38527,Europe & Central Asia,MCO
Moldova,Upper middle income,2595809,Europe & Central Asia,MDA
Moldova,Upper middle income,2595809,Europe & Central Asia,MDA
Moldova,Upper middle income,2595809,Europe & Central Asia,MDA
Madagascar,Low income,29691083,Sub-Saharan Africa,MDG
Madagascar,Low income,29691083,Sub-Saharan Africa,MDG
Madagascar,Low income,29691083,Sub-Saharan Africa,MDG
Maldives,Upper middle income,516154,South Asia,MDV
Maldives,Upper middle income,516154,South Asia,MDV
Maldives,Upper middle income,516154,South Asia,MDV
Mexico,Upper middle income,127648148,Latin America & Caribbean,MEX
Mexico,Upper middle income,127648148,Latin America & Caribbean,MEX
Mexico,Upper middle income,127648148,Latin America & Caribbean,MEX
Marshall Islands,Upper middle income,41367,East Asia & Pacific,MHL
Marshall Islands,Upper middle income,41367,East Asia & Pacific,MHL
Marshall Islands,Upper middle income,41367,East Asia & Pacific,MHL
North Macedonia,Upper middle income,1837114,Europe & Central Asia,MKD
North Macedonia,Upper middle income,1837114,Europe & Central Asia,MKD
North Macedonia,Upper middle income,1837114,Europe & Central Asia,MKD
Mali,Low income,22388630,Sub-Saharan Africa,MLI
Mali,Low income,22388630,Sub-Saharan Africa,MLI
Mali,Low income,22388630,Sub-Saharan Africa,MLI
Malta,High income,518150,"Middle East, North Africa, Afghanistan & Pakistan",MLT
Malta,High income,518150,"Middle East, North Africa, Afghanistan & Pakistan",MLT
Malta,High income,518150,"Middle East, North Africa, Afghanistan & Pakistan",MLT
Myanmar,Lower middle income,53387102,East Asia & Pacific,MMR
Myanmar,Lower middle income,53387102,East Asia & Pacific,MMR
Myanmar,Lower middle income,53387102,East Asia & Pacific,MMR
Montenegro,Upper middle income,625053,Europe & Central Asia,MNE
Montenegro,Upper middle income,625053,Europe & Central Asia,MNE
Montenegro,Upper middle income,625053,Europe & Central Asia,MNE
Mongolia,Upper middle income,3383741,East Asia & Pacific,MNG
Mongolia,Upper middle income,3383741,East Asia & Pacific,MNG
Mongolia,Upper middle income,3383741,East Asia & Pacific,MNG
Northern Mariana Islands,High income,46979,East Asia & Pacific,MNP
Northern Mariana Islands,High income,46979,East Asia & Pacific,MNP
Northern Mariana Islands,High income,46979,East Asia & Pacific,MNP
Mozambique,Low income,31707800,Sub-Saharan Africa,MOZ
Mozambique,Low income,31707800,Sub-Saharan Africa,MOZ
Mozambique,Low income,31707800,Sub-Saharan Africa,MOZ
Mauritania,Lower middle income,4734874,Sub-Saharan Africa,MRT
Mauritania,Lower middle income,4734874,Sub-Saharan Africa,MRT
Mauritania,Lower middle income,4734874,Sub-Saharan Africa,MRT
Mauritius,Upper middle income,1266334,Sub-Saharan Africa,MUS
Mauritius,Upper middle income,1266334,Sub-Saharan Africa,MUS
Mauritius,Upper middle income,1266334,Sub-Saharan Africa,MUS
Malawi,Low income,20047258,Sub-Saharan Africa,MWI
Malawi,Low income,20047258,Sub-Saharan Africa,MWI
Malawi,Low income,20047258,Sub-Saharan Africa,MWI
Malaysia,Upper middle income,34282399,East Asia & Pacific,MYS
Malaysia,Upper middle income,34282399,East Asia & Pacific,MYS
Malaysia,Upper middle income,34282399,East Asia & Pacific,MYS
Namibia,Lower middle income,2810548,Sub-Saharan Africa,NAM
Namibia,Lower middle income,2810548,Sub-Saharan Africa,NAM
Namibia,Lower middle income,2810548,Sub-Saharan Africa,NAM
New Caledonia,High income,285214,East Asia & Pacific,NCL
New Caledonia,High income,285214,East Asia & Pacific,NCL
New Caledonia,High income,285214,East Asia & Pacific,NCL
Niger,Low income,24502140,Sub-Saharan Africa,NER
Niger,Low income,24502140,Sub-Saharan Africa,NER
Niger,Low income,24502140,Sub-Saharan Africa,NER
Nigeria,Lower middle income,218529286,Sub-Saharan Africa,NGA
Nigeria,Lower middle income,218529286,Sub-Saharan Africa,NGA
Nigeria,Lower middle income,218529286,Sub-Saharan Africa,NGA
Nicaragua,Lower middle income,6644741,Latin America & Caribbean,NIC
Nicaragua,Lower middle income,6644741,Latin America & Caribbean,NIC
Nicaragua,Lower middle income,6644741,Latin America & Caribbean,NIC
Netherlands,High income,17533044,Europe & Central Asia,NLD
Netherlands,High income,17533044,Europe & Central Asia,NLD
Netherlands,High income,17533044,Europe & Central Asia,NLD
Norway,High income,5408320,Europe & Central Asia,NOR
Norway,High income,5408320,Europe & Central Asia,NOR
Norway,High income,5408320,Europe & Central Asia,NOR
Nepal,Lower middle income,29475010,South Asia,NPL
Nepal,Lower middle income,29475010,South Asia,NPL
Nepal,Lower middle income,29475010,South Asia,NPL
Nauru,High income,11709,East Asia & Pacific,NRU
Nauru,High income,11709,East Asia & Pacific,NRU
Nauru,High income,11709,East Asia & Pacific,NRU
New Zealand,High income,5111300,East Asia & Pacific,NZL
New Zealand,High income,5111300,East Asia & Pacific,NZL
New Zealand,High income,5111300,East Asia & Pacific,NZL
Oman,High income,4500424,"Middle East, North Africa, Afghanistan & Pakistan",OMN
Oman,High income,4500424,"Middle East, North Africa, Afghanistan & Pakistan",OMN
Oman,High income,4500424,"Middle East, North Africa, Afghanistan & Pakistan",OMN
Pakistan,Lower middle income,239477801,"Middle East, North Africa, Afghanistan & Pakistan",PAK
Pakistan,Lower middle income,239477801,"Middle East, North Africa, Afghanistan & Pakistan",PAK
